entry,exit,stop_price,target_price,r_multiple_gross,exit_reason,hold_min,trade_date,obs_minute,stop_points,r_net,fold_test_end
9596.75,9538.5,9454.57142857143,9810.017857142857,-0.40969605626726957,time,240,2020-02-11 00:00:00-05:00,60,142.17857142857142,-0.4149711127857323,2021-01-01
8991.75,8837.5,8837.75,9222.75,-1.0016233766233766,stop,189,2020-02-26 00:00:00-05:00,60,154.0,-1.0064935064935066,2021-01-01
8900.0,8713.807692307691,8714.057692307691,9178.913461538461,-1.0013445030509922,stop,56,2020-03-03 00:00:00-05:00,60,185.94230769230768,-1.0053780122039553,2021-01-01
8783.5,8863.75,8568.076923076924,9106.634615384615,0.37252276379217997,time,240,2020-03-04 00:00:00-05:00,60,215.42307692307693,0.3690412426352437,2021-01-01
8783.5,8673.0,8548.538461538461,9135.942307692309,-0.4702897364544115,time,240,2020-03-05 00:00:00-05:00,60,234.96153846153845,-0.4734817482403012,2021-01-01
8510.5,8392.5,8258.038461538461,8889.192307692309,-0.4673979280926265,time,240,2020-03-06 00:00:00-05:00,60,252.46153846153845,-0.4703686776355881,2021-01-01
7588.250000000001,7444.75,7185.307692307693,8192.663461538463,-0.3561303870567483,time,240,2020-03-13 00:00:00-04:00,60,402.9423076923077,-0.357991695699902,2021-01-01
7135.0,7473.0,6646.807692307692,7867.288461538462,0.6923501142361932,time,240,2020-03-17 00:00:00-04:00,60,488.1923076923077,0.6908138343969117,2021-01-01
7267.5,6842.75,6762.0192307692305,8025.721153846154,-0.8402891382918014,time,240,2020-03-18 00:00:00-04:00,60,505.4807692307692,-0.8417728742628876,2021-01-01
7340.25,7413.75,6803.5,8145.375,0.1369352585002329,time,240,2020-03-19 00:00:00-04:00,60,536.75,0.13553795994410806,2021-01-01
7412.25,7187.5,6865.25,8232.75,-0.4108775137111517,time,240,2020-03-20 00:00:00-04:00,60,547.0,-0.41224862888482633,2021-01-01
7422.75,7352.25,6885.071428571428,8229.267857142857,-0.13111922949186317,time,240,2020-03-24 00:00:00-04:00,60,537.6785714285714,-0.13251411491198936,2021-01-01
7745.499999999999,7824.0,7213.499999999999,8543.499999999998,0.14755639097744536,time,240,2020-03-30 00:00:00-04:00,60,531.9999999999999,0.14614661654135513,2021-01-01
7957.75,7864.250000000001,7426.607142857143,8754.464285714286,-0.17603550295857823,time,240,2020-03-31 00:00:00-04:00,60,531.142857142857,-0.17744755244755078,2021-01-01
7615.500000000001,7499.25,7090.214285714287,8403.428571428572,-0.22130813162904728,time,240,2020-04-01 00:00:00-04:00,60,525.285714285714,-0.222735926026654,2021-01-01
7522.25,7473.25,7022.517857142858,8271.848214285714,-0.0980525281400751,time,240,2020-04-02 00:00:00-04:00,60,499.73214285714255,-0.0995533321422191,2021-01-01
8788.25,8770.75,8516.964285714286,9195.17857142857,-0.06450763559768305,time,240,2020-04-20 00:00:00-04:00,60,271.28571428571405,-0.06727224855186946,2021-01-01
8636.25,8722.5,8377.339285714286,9024.61607142857,0.33312642251189745,time,240,2020-04-24 00:00:00-04:00,60,258.9107142857142,0.330229671011794,2021-01-01
8930.75,8949.25,8710.0,9261.875,0.08380520951302378,time,240,2020-04-29 00:00:00-04:00,60,220.75,0.08040770101925254,2021-01-01
9182.75,9178.25,8969.125,9503.1875,-0.021064950263311878,time,240,2020-05-08 00:00:00-04:00,60,213.625,-0.024575775307197192,2021-01-01
9179.25,8983.17857142857,8983.42857142857,9472.982142857143,-1.0012766733540073,stop,85,2020-05-13 00:00:00-04:00,60,195.82142857142858,-1.005106693416017,2021-01-01
9473.0,9522.75,9277.57142857143,9766.142857142857,0.2545687134502924,time,240,2020-05-28 00:00:00-04:00,60,195.42857142857142,0.2507309941520468,2021-01-01
9997.75,9975.75,9773.142857142857,10334.660714285714,-0.09794879949117506,time,240,2020-06-25 00:00:00-04:00,60,224.60714285714286,-0.10128796311019239,2021-01-01
9840.75,9916.5,9608.82142857143,10188.642857142857,0.32660917770249465,time,240,2020-06-29 00:00:00-04:00,60,231.92857142857142,0.3233754234678165,2021-01-01
10207.0,10271.25,9967.42857142857,10566.357142857143,0.26818723911747167,time,240,2020-07-01 00:00:00-04:00,60,239.57142857142858,0.265056648777579,2021-01-01
10658.5,10580.0,10472.07142857143,10938.142857142857,-0.42107279693486593,time,240,2020-07-07 00:00:00-04:00,60,186.42857142857142,-0.42509578544061305,2021-01-01
10765.25,10868.5,10547.55357142857,11091.794642857143,0.4742843080961365,time,240,2020-07-20 00:00:00-04:00,60,217.69642857142858,0.47083914363054713,2021-01-01
10447.25,10503.0,10197.19642857143,10822.330357142857,0.22295222452331645,time,240,2020-07-24 00:00:00-04:00,60,250.05357142857142,0.21995286724273372,2021-01-01
11400.75,11334.5,11222.17857142857,11668.607142857143,-0.371,time,240,2020-08-19 00:00:00-04:00,60,178.57142857142858,-0.3752,2021-01-01
12270.5,12278.5,12098.017857142857,12529.223214285714,0.0463816130034165,time,240,2020-09-01 00:00:00-04:00,60,172.48214285714286,0.042033336784346204,2021-01-01
12347.5,12182.535714285714,12182.785714285714,12594.57142857143,-1.0015177797051202,stop,69,2020-09-02 00:00:00-04:00,60,164.71428571428572,-1.0060711188204714,2021-01-01
11373.0,11174.75,11111.535714285714,11765.19642857143,-0.7582297500341483,time,240,2020-09-08 00:00:00-04:00,60,261.4642857142857,-0.7610982106269635,2021-01-01
11347.0,11410.75,11063.392857142857,11772.410714285714,0.22478277295051002,time,240,2020-09-09 00:00:00-04:00,60,283.60714285714283,0.22213826973932754,2021-01-01
