entry,exit,stop_price,target_price,r_multiple_gross,exit_reason,hold_min,trade_date,obs_minute,stop_points,r_net,fold_test_end
9094.75,9060.5,9006.357142857143,9227.339285714286,-0.38747474747474747,time,240,2020-01-15 00:00:00-05:00,90,88.39285714285714,-0.39595959595959596,2021-01-01
9285.25,9345.5,9171.642857142857,9455.660714285714,0.5303363722099969,time,240,2020-02-04 00:00:00-05:00,90,113.60714285714286,0.5237346746306193,2021-01-01
9418.5,9433.75,9289.94642857143,9611.330357142857,0.11862758716488403,time,240,2020-02-06 00:00:00-05:00,90,128.55357142857142,0.11279344353382416,2021-01-01
9428.25,9416.75,9297.267857142857,9624.723214285714,-0.08779822767552829,time,240,2020-02-07 00:00:00-05:00,90,130.98214285714286,-0.09352419904567144,2021-01-01
9598.5,9535.75,9456.32142857143,9811.767857142857,-0.44134639537804576,time,240,2020-02-11 00:00:00-05:00,90,142.17857142857142,-0.4466214518965085,2021-01-01
9608.25,9635.5,9462.410714285714,9827.00892857143,0.18684951634627156,time,240,2020-02-13 00:00:00-05:00,90,145.83928571428572,0.18170686910738335,2021-01-01
9721.25,9742.0,9600.69642857143,9902.080357142857,0.17212264849651904,time,240,2020-02-19 00:00:00-05:00,90,120.55357142857143,0.16590134794845207,2021-01-01
8795.5,8667.75,8560.538461538461,9147.942307692309,-0.543706007529874,time,240,2020-03-05 00:00:00-05:00,90,234.96153846153845,-0.5468980193157637,2021-01-01
7673.5,7752.25,7118.267857142857,8506.348214285714,0.14183256681568202,time,240,2020-03-26 00:00:00-04:00,90,555.2321428571428,0.14048178046505647,2021-01-01
7764.000000000001,7833.250000000001,7232.000000000001,8562.0,0.13016917293233085,time,240,2020-03-30 00:00:00-04:00,90,531.9999999999999,0.12875939849624063,2021-01-01
7936.000000000001,7868.249999999999,7404.857142857144,8732.714285714286,-0.12755513717052525,time,240,2020-03-31 00:00:00-04:00,90,531.142857142857,-0.1289671866594978,2021-01-01
7643.249999999999,7476.5,7117.964285714285,8431.17857142857,-0.3174462877345647,time,240,2020-04-01 00:00:00-04:00,90,525.285714285714,-0.31887408213217144,2021-01-01
7564.999999999999,7547.0,7065.267857142857,8314.598214285714,-0.03601929605145434,time,240,2020-04-02 00:00:00-04:00,90,499.73214285714255,-0.03752010005359835,2021-01-01
8571.75,8648.25,8261.428571428572,9037.232142857141,0.24651858671884025,time,240,2020-04-15 00:00:00-04:00,90,310.32142857142816,0.24410173782943986,2021-01-01
8706.0,8696.75,8409.535714285714,9150.696428571428,-0.031201060113239403,time,240,2020-04-16 00:00:00-04:00,90,296.4642857142854,-0.03373087579809665,2021-01-01
8817.75,8743.5,8546.464285714286,9224.67857142857,-0.2736966824644552,time,240,2020-04-20 00:00:00-04:00,90,271.28571428571405,-0.2764612954186416,2021-01-01
8768.5,8693.5,8506.892857142857,9160.910714285714,-0.28668941979522194,time,240,2020-04-23 00:00:00-04:00,90,261.6071428571428,-0.28955631399317416,2021-01-01
8920.0,8976.25,8699.25,9251.125,0.2548131370328426,time,240,2020-04-29 00:00:00-04:00,90,220.75,0.25141562853907135,2021-01-01
8732.25,8772.5,8496.964285714286,9085.17857142857,0.17106860959319975,time,240,2020-05-04 00:00:00-04:00,90,235.28571428571428,0.1678809957498482,2021-01-01
8963.0,9013.25,8743.142857142857,9292.785714285714,0.22855750487329435,time,240,2020-05-05 00:00:00-04:00,90,219.85714285714286,0.22514619883040937,2021-01-01
9173.5,9189.5,8959.875,9493.9375,0.07489760093622001,time,240,2020-05-08 00:00:00-04:00,90,213.625,0.0713867758923347,2021-01-01
9229.25,9328.5,9016.089285714286,9548.99107142857,0.4656111250733015,time,240,2020-05-11 00:00:00-04:00,90,213.16071428571428,0.4620926530954176,2021-01-01
9330.75,9329.25,9114.285714285714,9655.44642857143,-0.006929549579277347,time,240,2020-05-18 00:00:00-04:00,90,216.46428571428572,-0.01039432436891602,2021-01-01
9393.25,9367.5,9179.285714285714,9714.19642857143,-0.12034718744783841,time,240,2020-05-19 00:00:00-04:00,90,213.96428571428572,-0.12385244533466866,2021-01-01
9491.75,9524.0,9296.32142857143,9784.892857142857,0.1650219298245614,time,240,2020-05-28 00:00:00-04:00,90,195.42857142857142,0.1611842105263158,2021-01-01
9572.75,9594.0,9372.92857142857,9872.482142857143,0.10634495084897229,time,240,2020-06-01 00:00:00-04:00,90,199.82142857142858,0.10259159964253797,2021-01-01
9963.75,9981.75,9798.089285714286,10212.24107142857,0.10865581545758328,time,240,2020-06-09 00:00:00-04:00,90,165.66071428571428,0.10412848981351731,2021-01-01
9994.0,9944.25,9782.482142857143,10311.276785714286,-0.23520472773322076,time,240,2020-06-18 00:00:00-04:00,90,211.51785714285714,-0.23875052764879695,2021-01-01
10022.25,10111.5,9812.69642857143,10336.580357142857,0.4259054111631871,time,240,2020-06-22 00:00:00-04:00,90,209.55357142857142,0.4223263740945889,2021-01-01
10213.25,10245.75,10004.214285714286,10526.80357142857,0.15547582436357424,time,240,2020-06-23 00:00:00-04:00,90,209.03571428571428,0.15188792072441484,2021-01-01
9859.75,9893.25,9627.82142857143,10207.642857142857,0.14444102248229135,time,240,2020-06-29 00:00:00-04:00,90,231.92857142857142,0.14120726824761318,2021-01-01
10062.75,10094.5,9825.80357142857,10418.169642857143,0.13399653327304242,time,240,2020-06-30 00:00:00-04:00,90,236.94642857142858,0.13083126083352173,2021-01-01
10218.75,10262.75,9979.17857142857,10578.107142857143,0.1836612999403697,time,240,2020-07-01 00:00:00-04:00,90,239.57142857142858,0.18053070960047704,2021-01-01
