name,family,hyp_id,obs_minute,direction,n_full,er_full,pf_full,wr_full,n_train,er_train,n_test,er_test,pf_test,wr_test,dsr_test,oos_positive
pullback_up_90_rr1.5_sm0.75,pullback,494c1279cf1b,90,long,706,0.03612111695502666,1.2084759611183422,0.5779036827195467,475,0.020248654973726892,231,0.06875929635380325,1.4133477322802213,0.6017316017316018,0.2752656376259277,True
pullback_up_90_rr2.0_sm0.75,pullback,3bf09c9d8db8,90,long,706,0.03626320801741003,1.2092960512288884,0.5779036827195467,475,0.02056691686188253,231,0.06853913138916573,1.4120242066817015,0.6017316017316018,0.2738960398588264,True
pullback_up_90_rr1.0_sm0.75,pullback,bd7796c4494b,90,long,706,0.035925277084432376,1.2075190053596743,0.5793201133144475,475,0.022726274789977574,231,0.063066082668268,1.3791228770083777,0.6017316017316018,0.24237099735015727,True
pullback_up_90,pullback,470dc3cb9a37,90,long,706,0.028870096121038743,1.2249598309299088,0.5793201133144475,475,0.01682164026073183,231,0.05364505947015468,1.4378480996048768,0.6017316017316018,0.2988366991598793,True
pullback_up_90_rr1.5_sm1.0,pullback,e4d0a4c6d821,90,long,706,0.028870096121038743,1.2249598309299088,0.5793201133144475,475,0.01682164026073183,231,0.05364505947015468,1.4378480996048768,0.6017316017316018,0.2988366991598793,True
pullback_up_90_rr2.0_sm1.0,pullback,ca976bb2037c,90,long,706,0.028870096121038743,1.2249598309299088,0.5793201133144475,475,0.01682164026073183,231,0.05364505947015468,1.4378480996048768,0.6017316017316018,0.2988366991598793,True
pullback_up_90_rr1.0_sm1.0,pullback,f5c646989ac2,90,long,706,0.028720949420317592,1.2237976589566215,0.5793201133144475,475,0.017572290469505362,231,0.05164568102913063,1.4215292799514025,0.6017316017316018,0.2816759574870213,True
mom_dn_m0.003_60,momentum,8a3e42c2dd30,60,short,384,0.0357462263395167,1.205896110179762,0.5208333333333334,257,0.02946094160378813,127,0.0484652671039438,1.2993247296232178,0.5118110236220472,0.07787909146319058,True
mom_dn_m0.004_60,momentum,12c6efbb0114,60,short,259,0.02096895489052834,1.107344252307413,0.5057915057915058,178,0.011415738504514673,81,0.04196244275115098,1.230249127925489,0.49382716049382713,0.03320357650274695,True
pdh_accept_90,levels,e6bce0d85e3b,90,long,381,0.027619607646870777,1.2368360623084116,0.5931758530183727,270,0.023831046553635722,111,0.03683502652230738,1.2888776228650216,0.5945945945945946,0.0539695579500445,True
pdh_accept_60,levels,1a398aa3321b,60,long,392,0.02704447223976851,1.2092766024599548,0.5561224489795918,278,0.023448201395836355,114,0.03581432570128725,1.2448269311015345,0.5701754385964912,0.04591664073138014,True
ib_compress_up_q0.4,ib,4b2819b9956a,90,long,238,0.01184673037408466,1.1301348324380518,0.5504201680672269,168,0.0023459365475316345,70,0.03464863555781191,1.4074090767978857,0.6,0.05335104179828166,True
ib_compress_up_q0.6,ib,23471defa943,90,long,510,0.023852798556108622,1.2243644876444757,0.5803921568627451,348,0.02021288652710901,162,0.031671868840626304,1.2800042202002213,0.6049382716049383,0.07609281160128283,True
pullback_dn_60,pullback,e6cc8034a5a1,60,short,717,0.00940121463448726,1.053834918419836,0.46443514644351463,490,0.0015090198298975414,227,0.02643722985144304,1.1717329175182802,0.4889867841409692,0.04752852585655253,True
gap_cont_up_g0.3_90,gap,a67589b38c0a,90,long,322,0.046734321220330374,1.3942351757226834,0.6273291925465838,222,0.0568957019733915,100,0.024176055948534687,1.1597823491633026,0.62,0.02216288413049296,True
mom_dn_m0.002_60,momentum,efb3f729b9cb,60,short,535,0.01232108219281632,1.0692243841251137,0.4803738317757009,352,0.007890230018402127,183,0.020843814244148544,1.126797467080601,0.47540983606557374,0.025653328007296455,True
pdh_reject_30,levels,4cd493246a51,30,short,280,0.02317701571496049,1.1591111952642195,0.4785714285714286,187,0.024474640318831373,93,0.02056781355448892,1.1412208440281002,0.4838709677419355,0.017586566067933875,True
pdh_accept_30,levels,671da69b345a,30,long,438,0.03334248716636201,1.2375194918355996,0.5593607305936074,303,0.04211348704668839,135,0.013656465212740587,1.0824203235898646,0.5333333333333333,0.012908841566394963,True
gap_fade_up_g0.5_30,gap,cd381d4e49b8,30,short,130,0.01551433664868741,1.0841947547513868,0.46923076923076923,78,0.01802660322820801,52,0.011745936779406505,1.0678463063143568,0.5192307692307693,0.008316343955170466,True
gap_cont_dn_g0.5_30,gap,0ac0e15b4904,30,short,124,0.04927909295307163,1.2329221386748659,0.532258064516129,78,0.07282870822961832,46,0.009347136614579416,1.04187333230626,0.5652173913043478,0.006914760377104117,True
ib_wide_dn_q1.5,ib,cc8effb13f58,90,short,11,-0.22022097138878766,0.4843946965505187,0.36363636363636365,10,-0.31114087649308786,1,0.6889780796542143,inf,1.0,,False
volorb_up_0.2_0.6,volatility,f317cba6b6e7,30,long,12,0.17781251133725626,3.104179107638882,0.6666666666666666,10,0.11964812314510442,2,0.46863445229801526,inf,1.0,,False
gap_rev_dn_g0.5_30,gap,2055bfab834d,30,long,117,0.09505085675763847,1.5444063469679987,0.5726495726495726,91,0.05948567374659093,26,0.21952899729630485,2.4852365397746836,0.6538461538461539,0.2121616567136329,False
pdl_reject_30,levels,0d93e696c54b,30,long,191,0.007003559629128287,1.0450858039333135,0.5445026178010471,135,-0.028520696716037023,56,0.09264239188979466,1.776803231295611,0.5892857142857143,0.15889292456373322,False
gap_cont_dn_g0.5_90,gap,2d934f417a07,90,short,116,-0.018490725304787407,0.9133901320969066,0.4827586206896552,82,-0.05447440043484247,34,0.06829343236181595,1.5719568379872928,0.6176470588235294,0.07027595300332498,False
vwap_reclaim_60,vwap,7d674f80ba68,60,long,284,-0.03413838874039197,0.7750308791820323,0.46830985915492956,207,-0.06678583446717115,77,0.05362812120043003,1.4393190958269289,0.6363636363636364,0.08228869686291646,False
pdl_reject_90,levels,c4e5a2415d24,90,long,178,-0.0019073746213963954,0.9864341834285666,0.5056179775280899,112,-0.03248325139055646,66,0.04997896171414795,1.5330486913282697,0.5757575757575758,0.0763430347640279,False
mom_up_m0.004_60,momentum,3fb53f740f51,60,long,222,-0.04321885395739694,0.7870075714631941,0.5225225225225225,150,-0.08675373146584339,72,0.04747880751853318,1.3469787348478486,0.5972222222222222,0.054728626988276026,False
