symbol,obs,feature,side,thr,n_train,er_train,wr_train,sr_train,n_test,er_test,wr_test,survivor
NQ,30,rel_volume,<,,0,,,,0,,,False
NQ,30,upbars10,>,,0,,,,0,,,False
NQ,30,upbars10,<,,0,,,,0,,,False
NQ,30,upbars10,>,,0,,,,0,,,False
NQ,30,upbars10,<,,0,,,,0,,,False
NQ,30,upbars10,>,,0,,,,0,,,False
NQ,30,upbars10,<,,0,,,,0,,,False
NQ,30,upbars10,>,,0,,,,0,,,False
NQ,30,upbars10,<,,0,,,,0,,,False
NQ,30,ib_ratio,>,,0,,,,0,,,False
NQ,30,ib_ratio,<,,0,,,,0,,,False
NQ,30,ib_ratio,>,,0,,,,0,,,False
NQ,30,ib_ratio,<,,0,,,,0,,,False
NQ,30,ib_ratio,>,,0,,,,0,,,False
NQ,30,ib_ratio,<,,0,,,,0,,,False
NQ,30,ib_ratio,>,,0,,,,0,,,False
NQ,30,ib_ratio,<,,0,,,,0,,,False
NQ,30,or30_range,>,,0,,,,0,,,False
NQ,30,or30_range,<,,0,,,,0,,,False
NQ,30,or30_range,>,,0,,,,0,,,False
NQ,30,or30_range,<,,0,,,,0,,,False
NQ,30,or30_range,>,,0,,,,0,,,False
NQ,30,or30_range,<,,0,,,,0,,,False
NQ,30,or30_range,>,,0,,,,0,,,False
NQ,30,or30_range,<,,0,,,,0,,,False
NQ,30,pd_return,>,,0,,,,0,,,False
NQ,30,pd_return,<,,0,,,,0,,,False
NQ,30,pd_return,>,,0,,,,0,,,False
NQ,30,pd_return,<,,0,,,,0,,,False
NQ,30,pd_return,>,,0,,,,0,,,False
NQ,30,pd_return,<,,0,,,,0,,,False
NQ,30,pd_return,>,,0,,,,0,,,False
NQ,30,pd_return,<,,0,,,,0,,,False
NQ,30,on_range_atr,>,,0,,,,0,,,False
NQ,30,on_range_atr,<,,0,,,,0,,,False
NQ,30,on_range_atr,>,,0,,,,0,,,False
NQ,30,on_range_atr,<,,0,,,,0,,,False
NQ,30,on_range_atr,>,,0,,,,0,,,False
NQ,30,on_range_atr,<,,0,,,,0,,,False
NQ,30,on_range_atr,>,,0,,,,0,,,False
NQ,30,on_range_atr,<,,0,,,,0,,,False
NQ,60,ALL,,,0,,,,772,0.008855552547676582,0.5569948186528497,False
NQ,60,d_pdh,>,,0,,,,0,,,False
NQ,60,d_pdh,<,,0,,,,0,,,False
NQ,60,d_pdh,>,,0,,,,0,,,False
NQ,60,d_pdh,<,,0,,,,0,,,False
NQ,60,d_pdh,>,,0,,,,0,,,False
NQ,60,d_pdh,<,,0,,,,0,,,False
NQ,60,d_pdh,>,,0,,,,0,,,False
NQ,60,d_pdh,<,,0,,,,0,,,False
NQ,60,d_pdl,>,,0,,,,0,,,False
NQ,60,d_pdl,<,,0,,,,0,,,False
NQ,60,d_pdl,>,,0,,,,0,,,False
NQ,60,d_pdl,<,,0,,,,0,,,False
NQ,60,d_pdl,>,,0,,,,0,,,False
NQ,60,d_pdl,<,,0,,,,0,,,False
NQ,60,d_pdl,>,,0,,,,0,,,False
NQ,60,d_pdl,<,,0,,,,0,,,False
NQ,60,d_pc,>,,0,,,,0,,,False
NQ,60,d_pc,<,,0,,,,0,,,False
NQ,60,d_pc,>,,0,,,,0,,,False
NQ,60,d_pc,<,,0,,,,0,,,False
NQ,60,d_pc,>,,0,,,,0,,,False
NQ,60,d_pc,<,,0,,,,0,,,False
NQ,60,d_pc,>,,0,,,,0,,,False
NQ,60,d_pc,<,,0,,,,0,,,False
NQ,60,d_on_high,>,,0,,,,0,,,False
NQ,60,d_on_high,<,,0,,,,0,,,False
NQ,60,d_on_high,>,,0,,,,0,,,False
NQ,60,d_on_high,<,,0,,,,0,,,False
NQ,60,d_on_high,>,,0,,,,0,,,False
NQ,60,d_on_high,<,,0,,,,0,,,False
NQ,60,d_on_high,>,,0,,,,0,,,False
NQ,60,d_on_high,<,,0,,,,0,,,False
NQ,60,d_on_low,>,,0,,,,0,,,False
NQ,60,d_on_low,<,,0,,,,0,,,False
NQ,60,d_on_low,>,,0,,,,0,,,False
NQ,60,d_on_low,<,,0,,,,0,,,False
NQ,60,d_on_low,>,,0,,,,0,,,False
NQ,60,d_on_low,<,,0,,,,0,,,False
NQ,60,d_on_low,>,,0,,,,0,,,False
NQ,60,d_on_low,<,,0,,,,0,,,False
NQ,60,d_on_mid,>,,0,,,,0,,,False
NQ,60,d_on_mid,<,,0,,,,0,,,False
NQ,60,d_on_mid,>,,0,,,,0,,,False
NQ,60,d_on_mid,<,,0,,,,0,,,False
NQ,60,d_on_mid,>,,0,,,,0,,,False
NQ,60,d_on_mid,<,,0,,,,0,,,False
NQ,60,d_on_mid,>,,0,,,,0,,,False
NQ,60,d_on_mid,<,,0,,,,0,,,False
NQ,60,d_vwap,>,,0,,,,0,,,False
NQ,60,d_vwap,<,,0,,,,0,,,False
NQ,60,d_vwap,>,,0,,,,0,,,False
NQ,60,d_vwap,<,,0,,,,0,,,False
NQ,60,d_vwap,>,,0,,,,0,,,False
NQ,60,d_vwap,<,,0,,,,0,,,False
NQ,60,d_vwap,>,,0,,,,0,,,False
NQ,60,d_vwap,<,,0,,,,0,,,False
NQ,60,on_position,>,,0,,,,0,,,False
NQ,60,on_position,<,,0,,,,0,,,False
NQ,60,on_position,>,,0,,,,0,,,False
NQ,60,on_position,<,,0,,,,0,,,False
NQ,60,on_position,>,,0,,,,0,,,False
NQ,60,on_position,<,,0,,,,0,,,False
NQ,60,on_position,>,,0,,,,0,,,False
NQ,60,on_position,<,,0,,,,0,,,False
NQ,60,gap_atr,>,,0,,,,0,,,False
NQ,60,gap_atr,<,,0,,,,0,,,False
NQ,60,gap_atr,>,,0,,,,0,,,False
NQ,60,gap_atr,<,,0,,,,0,,,False
NQ,60,gap_atr,>,,0,,,,0,,,False
NQ,60,gap_atr,<,,0,,,,0,,,False
NQ,60,gap_atr,>,,0,,,,0,,,False
NQ,60,gap_atr,<,,0,,,,0,,,False
NQ,60,atr_pctile,>,,0,,,,0,,,False
NQ,60,atr_pctile,<,,0,,,,0,,,False
NQ,60,atr_pctile,>,,0,,,,0,,,False
NQ,60,atr_pctile,<,,0,,,,0,,,False
NQ,60,atr_pctile,>,,0,,,,0,,,False
NQ,60,atr_pctile,<,,0,,,,0,,,False
NQ,60,atr_pctile,>,,0,,,,0,,,False
NQ,60,atr_pctile,<,,0,,,,0,,,False
NQ,60,ret_5m,>,,0,,,,0,,,False
NQ,60,ret_5m,<,,0,,,,0,,,False
NQ,60,ret_5m,>,,0,,,,0,,,False
NQ,60,ret_5m,<,,0,,,,0,,,False
NQ,60,ret_5m,>,,0,,,,0,,,False
NQ,60,ret_5m,<,,0,,,,0,,,False
NQ,60,ret_5m,>,,0,,,,0,,,False
NQ,60,ret_5m,<,,0,,,,0,,,False
NQ,60,ret_15m,>,,0,,,,0,,,False
NQ,60,ret_15m,<,,0,,,,0,,,False
NQ,60,ret_15m,>,,0,,,,0,,,False
NQ,60,ret_15m,<,,0,,,,0,,,False
NQ,60,ret_15m,>,,0,,,,0,,,False
NQ,60,ret_15m,<,,0,,,,0,,,False
NQ,60,ret_15m,>,,0,,,,0,,,False
NQ,60,ret_15m,<,,0,,,,0,,,False
NQ,60,ret_30m,>,,0,,,,0,,,False
NQ,60,ret_30m,<,,0,,,,0,,,False
NQ,60,ret_30m,>,,0,,,,0,,,False
NQ,60,ret_30m,<,,0,,,,0,,,False
NQ,60,ret_30m,>,,0,,,,0,,,False
NQ,60,ret_30m,<,,0,,,,0,,,False
NQ,60,ret_30m,>,,0,,,,0,,,False
NQ,60,ret_30m,<,,0,,,,0,,,False
NQ,60,ret_60m,>,,0,,,,0,,,False
NQ,60,ret_60m,<,,0,,,,0,,,False
NQ,60,ret_60m,>,,0,,,,0,,,False
NQ,60,ret_60m,<,,0,,,,0,,,False
NQ,60,ret_60m,>,,0,,,,0,,,False
NQ,60,ret_60m,<,,0,,,,0,,,False
NQ,60,ret_60m,>,,0,,,,0,,,False
NQ,60,ret_60m,<,,0,,,,0,,,False
NQ,60,rel_volume,>,,0,,,,0,,,False
NQ,60,rel_volume,<,,0,,,,0,,,False
NQ,60,rel_volume,>,,0,,,,0,,,False
NQ,60,rel_volume,<,,0,,,,0,,,False
NQ,60,rel_volume,>,,0,,,,0,,,False
NQ,60,rel_volume,<,,0,,,,0,,,False
NQ,60,rel_volume,>,,0,,,,0,,,False
NQ,60,rel_volume,<,,0,,,,0,,,False
NQ,60,upbars10,>,,0,,,,0,,,False
NQ,60,upbars10,<,,0,,,,0,,,False
NQ,60,upbars10,>,,0,,,,0,,,False
NQ,60,upbars10,<,,0,,,,0,,,False
NQ,60,upbars10,>,,0,,,,0,,,False
NQ,60,upbars10,<,,0,,,,0,,,False
NQ,60,upbars10,>,,0,,,,0,,,False
NQ,60,upbars10,<,,0,,,,0,,,False
NQ,60,ib_ratio,>,,0,,,,0,,,False
NQ,60,ib_ratio,<,,0,,,,0,,,False
NQ,60,ib_ratio,>,,0,,,,0,,,False
NQ,60,ib_ratio,<,,0,,,,0,,,False
NQ,60,ib_ratio,>,,0,,,,0,,,False
NQ,60,ib_ratio,<,,0,,,,0,,,False
NQ,60,ib_ratio,>,,0,,,,0,,,False
NQ,60,ib_ratio,<,,0,,,,0,,,False
NQ,60,or30_range,>,,0,,,,0,,,False
NQ,60,or30_range,<,,0,,,,0,,,False
NQ,60,or30_range,>,,0,,,,0,,,False
NQ,60,or30_range,<,,0,,,,0,,,False
NQ,60,or30_range,>,,0,,,,0,,,False
NQ,60,or30_range,<,,0,,,,0,,,False
NQ,60,or30_range,>,,0,,,,0,,,False
NQ,60,or30_range,<,,0,,,,0,,,False
NQ,60,pd_return,>,,0,,,,0,,,False
NQ,60,pd_return,<,,0,,,,0,,,False
NQ,60,pd_return,>,,0,,,,0,,,False
NQ,60,pd_return,<,,0,,,,0,,,False
NQ,60,pd_return,>,,0,,,,0,,,False
NQ,60,pd_return,<,,0,,,,0,,,False
NQ,60,pd_return,>,,0,,,,0,,,False
NQ,60,pd_return,<,,0,,,,0,,,False
NQ,60,on_range_atr,>,,0,,,,0,,,False
NQ,60,on_range_atr,<,,0,,,,0,,,False
NQ,60,on_range_atr,>,,0,,,,0,,,False
NQ,60,on_range_atr,<,,0,,,,0,,,False
NQ,60,on_range_atr,>,,0,,,,0,,,False
NQ,60,on_range_atr,<,,0,,,,0,,,False
NQ,60,on_range_atr,>,,0,,,,0,,,False
NQ,60,on_range_atr,<,,0,,,,0,,,False
NQ,90,ALL,,,1614,0.01403671858491211,0.5514250309789344,0.03039937856799458,772,0.022675273730482406,0.5634715025906736,False
NQ,90,d_pdh,>,-0.4430180764365099,1452,0.010795176969400813,0.540633608815427,0.023123672152782118,699,0.007562688015505695,0.547925608011445,False
NQ,90,d_pdh,<,-0.4430180764365099,162,0.04309053602764296,0.6481481481481481,0.10423670488137728,71,0.16334657188722407,0.704225352112676,False
NQ,90,d_pdh,>,-0.07816009928048256,1210,0.00647405681201432,0.5330578512396694,0.013276441668594563,588,0.014022643075178627,0.54421768707483,False
NQ,90,d_pdh,<,-0.07816009928048256,404,0.036687264983937665,0.6064356435643564,0.09829402304496944,182,0.047464897794650324,0.6208791208791209,False
NQ,90,d_pdh,>,0.7817305418280918,404,0.0038338852386142763,0.5024752475247525,0.006843080597985393,167,0.060304623396767176,0.5389221556886228,False
NQ,90,d_pdh,<,0.7817305418280918,1210,0.017443284429461133,0.5677685950413223,0.0411397329153583,603,0.011298596052357003,0.5688225538971807,False
NQ,90,d_pdh,>,1.2944101302600206,162,0.03444462188596634,0.49382716049382713,0.05790184519377437,79,0.054216887607535576,0.4810126582278481,False
NQ,90,d_pdh,<,1.2944101302600206,1452,0.011759803753802749,0.5578512396694215,0.026448675750953658,691,0.018235588141586226,0.5716353111432706,False
NQ,90,d_pdl,>,-1.3969498715703974,1452,0.010431786675099407,0.5461432506887053,0.022502692018307954,695,0.016279110661985213,0.5582733812949641,False
NQ,90,d_pdl,<,-1.3969498715703974,162,0.04634758977656665,0.5987654320987654,0.10414440012931767,75,0.07426591489002227,0.6,False
NQ,90,d_pdl,>,-0.9583242637685387,1210,0.008818064291681872,0.528099173553719,0.019367483178940645,585,0.026701697386898527,0.5538461538461539,False
NQ,90,d_pdl,<,-0.9583242637685387,404,0.029666846542359085,0.6212871287128713,0.061708278461115866,185,0.006829365164841891,0.5891891891891892,False
NQ,90,d_pdl,>,-0.1257961093168487,404,-0.0074562375663052415,0.4975247524752475,-0.014458129541416714,189,0.016134155118329527,0.5291005291005291,False
NQ,90,d_pdl,<,-0.1257961093168487,1210,0.02121287915110368,0.5694214876033058,0.047964770040264726,581,0.023811652684108627,0.5731497418244407,False
NQ,90,d_pdl,>,0.27401934009057616,162,0.010913712835860767,0.5185185185185185,0.019843831364696217,89,0.05357631686559484,0.5393258426966292,False
NQ,90,d_pdl,<,0.27401934009057616,1452,0.014385153110632713,0.5550964187327824,0.031892476909323744,681,0.017790944678110793,0.5653450807635829,False
NQ,90,d_pc,>,-0.736429614450919,1452,0.011207812200443324,0.5426997245179064,0.024417910670528016,683,0.016336158255348603,0.554904831625183,False
NQ,90,d_pc,<,-0.736429614450919,162,0.039392101734595224,0.6296296296296297,0.08098753814946758,87,0.06581987860262407,0.6206896551724138,False
NQ,90,d_pc,>,-0.3900142986462995,1210,0.0011796742333065756,0.5247933884297521,0.002493609229972051,585,0.01464365721334793,0.5470085470085471,False
NQ,90,d_pc,<,-0.3900142986462995,404,0.052544202905314814,0.6311881188118812,0.12386041915215347,185,0.04495884355147489,0.6108108108108108,True
NQ,90,d_pc,>,0.270083793695743,404,-0.010244476747299,0.5,-0.01989067993983349,187,0.00605249357120734,0.5080213903743316,False
NQ,90,d_pc,<,0.270083793695743,1210,0.022143828431369368,0.5685950413223141,0.05004743542159875,583,0.027019055281330386,0.5797598627787307,False
NQ,90,d_pc,>,0.6769581278672189,162,0.0006967150640598237,0.49382716049382713,0.0011944889044698795,82,0.051610184009470775,0.5,False
NQ,90,d_pc,<,0.6769581278672189,1452,0.01552506608517248,0.5578512396694215,0.03478124073565722,688,0.01838937563670754,0.5697674418604651,False
