entry,exit,stop_price,target_price,r_multiple_gross,exit_reason,hold_min,trade_date,obs_minute,stop_points,r_net,fold_test_end
9012.25,8996.75,8935.107142857143,9127.964285714286,-0.20092592592592592,time,240,2020-01-09 00:00:00-05:00,90,77.14285714285714,-0.21064814814814814,2021-01-01
9094.75,9060.5,9006.357142857143,9227.339285714286,-0.38747474747474747,time,240,2020-01-15 00:00:00-05:00,90,88.39285714285714,-0.39595959595959596,2021-01-01
9237.75,9225.25,9152.357142857143,9365.839285714286,-0.1463822668339607,time,240,2020-01-22 00:00:00-05:00,90,85.39285714285714,-0.15516520284399832,2021-01-01
9130.75,9126.75,9024.339285714286,9290.36607142857,-0.037590199697935894,time,240,2020-02-03 00:00:00-05:00,90,106.41071428571429,-0.044638362141298876,2021-01-01
9598.5,9535.75,9456.32142857143,9811.767857142857,-0.44134639537804576,time,240,2020-02-11 00:00:00-05:00,90,142.17857142857142,-0.4466214518965085,2021-01-01
9608.25,9635.5,9462.410714285714,9827.00892857143,0.18684951634627156,time,240,2020-02-13 00:00:00-05:00,90,145.83928571428572,0.18170686910738335,2021-01-01
9721.25,9742.0,9600.69642857143,9902.080357142857,0.17212264849651904,time,240,2020-02-19 00:00:00-05:00,90,120.55357142857143,0.16590134794845207,2021-01-01
9008.75,8854.5,8854.75,9239.75,-1.0016233766233766,stop,156,2020-02-26 00:00:00-05:00,90,154.0,-1.0064935064935066,2021-01-01
8930.0,8743.807692307691,8744.057692307691,9208.913461538461,-1.0013445030509922,stop,24,2020-03-03 00:00:00-05:00,90,185.94230769230768,-1.0053780122039553,2021-01-01
7936.000000000001,7868.249999999999,7404.857142857144,8732.714285714286,-0.12755513717052525,time,240,2020-03-31 00:00:00-04:00,90,531.142857142857,-0.1289671866594978,2021-01-01
8817.75,8743.5,8546.464285714286,9224.67857142857,-0.2736966824644552,time,240,2020-04-20 00:00:00-04:00,90,271.28571428571405,-0.2764612954186416,2021-01-01
8768.5,8693.5,8506.892857142857,9160.910714285714,-0.28668941979522194,time,240,2020-04-23 00:00:00-04:00,90,261.6071428571428,-0.28955631399317416,2021-01-01
8963.0,9013.25,8743.142857142857,9292.785714285714,0.22855750487329435,time,240,2020-05-05 00:00:00-04:00,90,219.85714285714286,0.22514619883040937,2021-01-01
9028.5,9011.25,8808.160714285714,9359.00892857143,-0.07828835399951374,time,240,2020-05-06 00:00:00-04:00,90,220.33928571428572,-0.08169219547775347,2021-01-01
9310.75,9265.75,9110.339285714286,9611.36607142857,-0.22453889334402566,time,240,2020-05-12 00:00:00-04:00,90,200.41071428571428,-0.22828120823309275,2021-01-01
9330.75,9329.25,9114.285714285714,9655.44642857143,-0.006929549579277347,time,240,2020-05-18 00:00:00-04:00,90,216.46428571428572,-0.01039432436891602,2021-01-01
9393.25,9367.5,9179.285714285714,9714.19642857143,-0.12034718744783841,time,240,2020-05-19 00:00:00-04:00,90,213.96428571428572,-0.12385244533466866,2021-01-01
9455.75,9477.0,9257.5,9753.125,0.10718789407313997,time,240,2020-05-20 00:00:00-04:00,90,198.25,0.1034047919293821,2021-01-01
9528.25,9530.25,9340.0,9810.625,0.010624169986719787,session_end,119,2020-05-25 00:00:00-04:00,90,188.25,0.0066401062416998665,2021-01-01
9491.75,9524.0,9296.32142857143,9784.892857142857,0.1650219298245614,time,240,2020-05-28 00:00:00-04:00,90,195.42857142857142,0.1611842105263158,2021-01-01
9572.75,9594.0,9372.92857142857,9872.482142857143,0.10634495084897229,time,240,2020-06-01 00:00:00-04:00,90,199.82142857142858,0.10259159964253797,2021-01-01
9709.75,9605.75,9543.67857142857,9958.857142857143,-0.6262365591397849,time,240,2020-06-04 00:00:00-04:00,90,166.07142857142858,-0.630752688172043,2021-01-01
9777.75,9820.5,9614.160714285714,10023.13392857143,0.26132518284030126,time,240,2020-06-05 00:00:00-04:00,90,163.58928571428572,0.25674053050976964,2021-01-01
