entry,exit,stop_price,target_price,r_multiple_gross,exit_reason,hold_min,trade_date,obs_minute,stop_points,r_net,fold_test_end
12838.5,12914.25,12679.232142857143,13077.401785714286,0.4756138580558359,time,240,2021-01-07 00:00:00-05:00,30,159.26785714285714,0.47090480995627315,2022-01-01
13052.25,13113.5,12787.19642857143,13449.830357142857,0.23108536010240516,time,240,2021-03-31 00:00:00-04:00,30,265.05357142857144,0.22825574344809,2022-01-01
13597.0,13590.0,13339.384615384615,13983.423076923076,-0.027172290235891308,time,240,2021-04-06 00:00:00-04:00,30,257.61538461538464,-0.03008360704687966,2022-01-01
13802.25,13864.75,13629.346153846154,14061.60576923077,0.3614725836948059,time,240,2021-04-21 00:00:00-04:00,30,172.90384615384616,0.3571349126904682,2022-01-01
13923.5,13902.25,13746.214285714286,14189.42857142857,-0.11986301369863014,time,240,2021-04-28 00:00:00-04:00,30,177.28571428571428,-0.12409347300564062,2022-01-01
13907.5,13846.0,13729.482142857143,14174.526785714286,-0.34547095997592536,time,240,2021-04-30 00:00:00-04:00,30,178.01785714285714,-0.34968402046343666,2022-01-01
13271.25,13333.75,13059.339285714286,13589.11607142857,0.2949355355186652,time,240,2021-05-11 00:00:00-04:00,30,211.91071428571428,0.2913963090924412,2022-01-01
13267.5,13365.5,13040.92857142857,13607.357142857143,0.43253467843631777,time,240,2021-05-14 00:00:00-04:00,30,226.57142857142858,0.4292244640605296,2022-01-01
15529.499999999998,15608.5,15367.249999999998,15772.874999999998,0.4869029275809049,time,240,2021-08-30 00:00:00-04:00,30,162.25,0.48228043143298505,2022-01-01
15640.749999999998,15655.250000000002,15479.339285714283,15882.86607142857,0.08983294612238085,time,240,2021-09-03 00:00:00-04:00,30,161.41071428571493,0.0851864144263968,2022-01-01
15703.000000000002,15701.0,15549.035714285716,15933.946428571431,-0.012990025516133298,session_end,179,2021-09-06 00:00:00-04:00,30,153.9642857142865,-0.017861285084678855,2022-01-01
15077.0,15153.750000000002,14892.642857142857,15353.535714285714,0.4163115071677749,time,240,2021-09-22 00:00:00-04:00,30,184.3571428571426,0.41224331654398566,2022-01-01
15247.75,15264.5,15052.57142857143,15540.517857142857,0.08581884720951527,time,240,2021-09-24 00:00:00-04:00,30,195.17857142857105,0.08197621225983548,2022-01-01
14955.5,14960.5,14684.892857142857,15361.410714285714,0.018476969776956596,time,240,2021-10-07 00:00:00-04:00,30,270.6071428571426,0.015705424310413107,2022-01-01
16173.000000000002,16021.75,15991.303571428572,16445.544642857145,-0.8324324324324389,time,240,2021-11-10 00:00:00-05:00,30,181.69642857142935,-0.836560196560203,2022-01-01
14015.0,14155.5,13707.589285714286,14476.116071428572,0.45704327621260515,time,240,2022-04-19 00:00:00-04:00,30,307.4107142857144,0.45460354342143466,2023-01-01
12503.25,12582.25,12231.017857142857,12911.598214285714,0.29019350606756317,time,240,2022-09-09 00:00:00-04:00,30,272.23214285714283,0.28743850442768126,2023-01-01
11491.75,11306.5,11196.94642857143,11933.955357142857,-0.6283845175358895,time,240,2022-09-26 00:00:00-04:00,30,294.80357142857144,-0.6309285844085045,2023-01-01
11616.75,11610.75,11323.05357142857,12057.294642857143,-0.020429257615370587,time,240,2022-10-04 00:00:00-04:00,30,293.69642857142856,-0.02298291481729191,2023-01-01
11156.25,11292.0,10811.767857142857,11672.973214285714,0.39406977346949357,time,240,2022-10-21 00:00:00-04:00,30,344.48214285714283,0.3918925924006013,2023-01-01
11451.25,11503.75,11150.642857142857,11902.160714285714,0.17464654865153856,time,240,2022-11-10 00:00:00-05:00,30,300.60714285714283,0.17215159795651658,2023-01-01
11601.0,11641.25,11381.82142857143,11929.767857142857,0.18364021508880563,time,240,2022-12-08 00:00:00-05:00,30,219.17857142857142,0.18021834772690243,2023-01-01
11311.0,11296.5,11059.30357142857,11688.544642857143,-0.05760908123448031,time,240,2023-01-09 00:00:00-05:00,30,251.69642857142858,-0.06058886129833274,2024-01-01
12417.25,12651.25,12173.267857142857,12783.223214285714,0.9590865842055185,time,240,2023-03-16 00:00:00-04:00,30,243.98214285714286,0.9560125887433213,2024-01-01
13191.0,13304.25,13008.25,13465.125,0.6196990424076607,time,240,2023-05-05 00:00:00-04:00,30,182.75,0.615595075239398,2024-01-01
15422.499999999998,15198.482142857141,15198.732142857141,15758.151785714283,-1.001117229271407,stop,146,2023-08-10 00:00:00-04:00,30,223.76785714285688,-1.0044689170856278,2024-01-01
14913.25,14947.5,14685.42857142857,15254.982142857143,0.15033704342373394,time,240,2023-08-21 00:00:00-04:00,30,227.82142857142884,0.14704499137795873,2024-01-01
14950.5,14922.75,14741.303571428572,15264.294642857143,-0.13265044814340599,time,240,2023-09-22 00:00:00-04:00,30,209.19642857142844,-0.13623559539052507,2024-01-01
14744.5,14844.5,14523.714285714286,15075.678571428572,0.4529278550630861,time,240,2023-09-28 00:00:00-04:00,30,220.78571428571442,0.44953089615011294,2024-01-01
