entry,exit,stop_price,target_price,r_multiple_gross,exit_reason,hold_min,trade_date,obs_minute,stop_points,r_net,fold_test_end
8954.75,8839.0,9108.75,8723.75,0.7516233766233766,time,240,2020-02-26 00:00:00-05:00,30,154.0,0.7467532467532467,2021-01-01
8793.25,8979.442307692309,8979.192307692309,8514.336538461539,-1.0013445030509922,stop,1,2020-03-03 00:00:00-05:00,30,185.94230769230768,-1.0053780122039553,2021-01-01
8694.5,8839.0,8909.923076923076,8371.365384615385,-0.6707730762363864,time,240,2020-03-04 00:00:00-05:00,30,215.42307692307693,-0.6742545973933226,2021-01-01
8737.25,8708.75,8972.211538461539,8384.807692307691,0.1212964478638075,time,240,2020-03-05 00:00:00-05:00,30,234.96153846153845,0.11810443607791783,2021-01-01
8417.75,8379.5,8670.211538461539,8039.057692307692,0.15150822669104205,time,240,2020-03-06 00:00:00-05:00,30,252.46153846153845,0.14853747714808044,2021-01-01
7822.750000000001,7876.5,8353.892857142859,7026.035714285716,-0.1011968800430322,time,240,2020-03-31 00:00:00-04:00,30,531.142857142857,-0.10260892953200478,2021-01-01
7582.000000000001,7539.0,8107.285714285715,6794.07142857143,0.08186021212945513,time,240,2020-04-01 00:00:00-04:00,30,525.285714285714,0.08043241773184838,2021-01-01
7621.249999999999,7453.0,8086.0714285714275,6924.017857142857,0.36196696119861527,time,240,2020-04-03 00:00:00-04:00,30,464.82142857142827,0.36035343834037475,2021-01-01
8071.5,8128.75,8452.017857142857,7500.723214285715,-0.15045286029377272,time,240,2020-04-08 00:00:00-04:00,30,380.51785714285677,-0.15242385846356013,2021-01-01
8169.500000000001,8246.75,8504.035714285716,7667.69642857143,-0.23091704921532796,time,240,2020-04-13 00:00:00-04:00,30,334.5357142857139,-0.23315896231450592,2021-01-01
8642.75,8643.75,8939.214285714286,8198.053571428572,-0.0033730875798096654,time,240,2020-04-16 00:00:00-04:00,30,296.4642857142854,-0.005902903264666914,2021-01-01
8588.25,8716.75,8847.160714285714,8199.88392857143,-0.49631009035105883,time,240,2020-04-24 00:00:00-04:00,30,258.9107142857142,-0.49920684185116226,2021-01-01
